Fluid,Type,Rho_reduced,Temp_reduced,H_reduced,D_reduced,Ref.
n-Hexane,C6H14,0.877723526,0.628278253,9.077301229,1.758086603,"Leverant et al., 2023"
n-Hexane,C6H14,0.897232434,0.685781296,9.077301229,1.048807984,"Leverant et al., 2023"
n-Hexane,C6H14,0.308418107,1.169864917,12.10306831,112.1665475,"Leverant et al., 2023"
n-Hexane,C6H14,0.549441803,1.082552296,12.10306831,43.79292404,"Leverant et al., 2023"
n-Hexane,C6H14,0.600164965,1.030155523,12.10306831,34.96500058,"Leverant et al., 2023"
n-Hexane,C6H14,0.635635708,1.01895393,12.10306831,29.5632306,"Leverant et al., 2023"
n-Hexane,C6H14,0.638828074,0.981760961,12.10306831,27.71037798,"Leverant et al., 2023"
n-Hexane,C6H14,0.745062948,0.812587008,12.10306831,14.20064678,"Leverant et al., 2023"
n-Hexane,C6H14,0.788159901,0.731806732,12.10306831,9.79606211,"Leverant et al., 2023"
n-Hexane,C6H14,0.794721988,0.720306123,12.10306831,8.638586953,"Leverant et al., 2023"
n-Hexane,C6H14,0.800397307,0.708805515,12.10306831,8.679383806,"Leverant et al., 2023"
n-Hexane,C6H14,0.811393237,0.685804297,12.10306831,8.145984952,"Leverant et al., 2023"
n-Hexane,C6H14,0.824517412,0.685804297,12.10306831,6.802657465,"Leverant et al., 2023"
n-Hexane,C6H14,0.835513342,0.765940539,12.10306831,7.195729366,"Leverant et al., 2023"
n-Hexane,C6H14,0.850056347,0.851045043,12.10306831,7.496097307,"Leverant et al., 2023"
n-Hexane,C6H14,0.852007237,0.719938104,12.10306831,5.918281242,"Leverant et al., 2023"
n-Hexane,C6H14,0.86548612,0.570775209,12.10306831,1.967759318,"Leverant et al., 2023"
n-Hexane,C6H14,0.877723526,0.628278253,12.10306831,2.416826899,"Leverant et al., 2023"
n-Hexane,C6H14,0.897232434,0.685781296,12.10306831,1.470108818,"Leverant et al., 2023"
n-Hexane,C6H14,0.308418107,1.169864917,18.15460246,117.4862082,"Leverant et al., 2023"
n-Hexane,C6H14,0.549441803,1.082552296,18.15460246,46.39762978,"Leverant et al., 2023"
n-Hexane,C6H14,0.600164965,1.030155523,18.15460246,37.50951541,"Leverant et al., 2023"
